3,0.4,2.6
3,0.6,2.4
3.4,0.6,2
3.4,0.8,1.8
3.6,0.8,1.6
3.6,1,1.4
4,1,1
4,1.4,0.6
4.2,1.4,0.4
4.2,1.6,0.2
4.4,1.6,0
4.4,2,-0.4
4.6,2,-0.6
4.6,2.4,-1
4.4,2.6,-1
4.4,3,-1.4
4.2,3.2,-1.4
4.2,3.4,-1.6
4,3.6,-1.6
4,4,-2
3.6,4.4,-2
3.6,4.6,-2.2
3.4,4.8,-2.2
3.4,5,-2.4
3,5.4,-2.4
3,5.6,-2.6
2.6,6,-2.6
2.4,6,-2.4
2,6.4,-2.4
1.8,6.4,-2.2
1.6,6.6,-2.2
1.4,6.6,-2
1,7,-2
0.6,7,-1.6
0.4,7.2,-1.6
0.2,7.2,-1.4
0,7.4,-1.4
-0.4,7.4,-1
-0.6,7.6,-1
-1,7.6,-0.6
-1,7.4,-0.4
-1.4,7.4,0
-1.4,7.2,0.2
-1.6,7.2,0.4
-1.6,7,0.6
-2,7,1
-2,6.6,1.4
-2.2,6.6,1.6
-2.2,6.4,1.8
-2.4,6.4,2
-2.4,6,2.4
-2.6,6,2.6
-2.6,5.6,3
-2.4,5.4,3
-2.4,5,3.4
-2.2,4.8,3.4
-2.2,4.6,3.6
-2,4.4,3.6
-2,4,4
-1.6,3.6,4
-1.6,3.4,4.2
-1.4,3.2,4.2
-1.4,3,4.4
-1,2.6,4.4
-1,2.4,4.6
-0.6,2,4.6
-0.4,2,4.4
0,1.6,4.4
0.2,1.6,4.2
0.4,1.4,4.2
0.6,1.4,4
1,1,4
1.4,1,3.6
1.6,0.8,3.6
1.8,0.8,3.4
2,0.6,3.4
2.4,0.6,3
2.6,0.4,3
