count: 78.0
[3.0, 0.4, 2.6]
[3.0, 0.6, 2.4]
[3.4, 0.6, 2.0]
[3.4, 0.8, 1.8]
[3.6, 0.8, 1.6]
[3.6, 1.0, 1.4]
[4.0, 1.0, 1.0]
[4.0, 1.4, 0.6]
[4.2, 1.4, 0.4]
[4.2, 1.6, 0.2]
[4.4, 1.6, 0.0]
[4.4, 2.0, -0.4]
[4.6, 2.0, -0.6]
[4.6, 2.4, -1.0]
[4.4, 2.6, -1.0]
[4.4, 3.0, -1.4]
[4.2, 3.2, -1.4]
[4.2, 3.4, -1.6]
[4.0, 3.6, -1.6]
[4.0, 4.0, -2.0]
[3.6, 4.4, -2.0]
[3.6, 4.6, -2.2]
[3.4, 4.8, -2.2]
[3.4, 5.0, -2.4]
[3.0, 5.4, -2.4]
[3.0, 5.6, -2.6]
[2.6, 6.0, -2.6]
[2.4, 6.0, -2.4]
[2.0, 6.4, -2.4]
[1.8, 6.4, -2.2]
[1.6, 6.6, -2.2]
[1.4, 6.6, -2.0]
[1.0, 7.0, -2.0]
[0.6, 7.0, -1.6]
[0.4, 7.2, -1.6]
[0.2, 7.2, -1.4]
[0.0, 7.4, -1.4]
[-0.4, 7.4, -1.0]
[-0.6, 7.6, -1.0]
[-1.0, 7.6, -0.6]
[-1.0, 7.4, -0.4]
[-1.4, 7.4, 0.0]
[-1.4, 7.2, 0.2]
[-1.6, 7.2, 0.4]
[-1.6, 7.0, 0.6]
[-2.0, 7.0, 1.0]
[-2.0, 6.6, 1.4]
[-2.2, 6.6, 1.6]
[-2.2, 6.4, 1.8]
[-2.4, 6.4, 2.0]
[-2.4, 6.0, 2.4]
[-2.6, 6.0, 2.6]
[-2.6, 5.6, 3.0]
[-2.4, 5.4, 3.0]
[-2.4, 5.0, 3.4]
[-2.2, 4.8, 3.4]
[-2.2, 4.6, 3.6]
[-2.0, 4.4, 3.6]
[-2.0, 4.0, 4.0]
[-1.6, 3.6, 4.0]
[-1.6, 3.4, 4.2]
[-1.4, 3.2, 4.2]
[-1.4, 3.0, 4.4]
[-1.0, 2.6, 4.4]
[-1.0, 2.4, 4.6]
[-0.6, 2.0, 4.6]
[-0.4, 2.0, 4.4]
[0.0, 1.6, 4.4]
[0.2, 1.6, 4.2]
[0.4, 1.4, 4.2]
[0.6, 1.4, 4.0]
[1.0, 1.0, 4.0]
[1.4, 1.0, 3.6]
[1.6, 0.8, 3.6]
[1.8, 0.8, 3.4]
[2.0, 0.6, 3.4]
[2.4, 0.6, 3.0]
[2.6, 0.4, 3.0]
avg: [0.9999999999999998, 4.0, 1.0000000000000002]
Yay! All points sum to -6.0 with coeffs -1 -1 -1
average radius: 4.19093507389
minimum radius: 3.98998746865
max radius: 4.41814440687
ratio min/max: 0.903091230437
standard deviation: 0.132671278019
